,Path,Gender,Age,Ethnicity,Facial Emotion,Identity
0,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000000.jpg,1,-100.0,-100.0,-100.0,-100.0
2,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000002.jpg,1,-100.0,-100.0,-100.0,-100.0
4,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000004.jpg,1,-100.0,-100.0,-100.0,-100.0
5,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000005.jpg,1,-100.0,-100.0,-100.0,-100.0
6,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000006.jpg,1,-100.0,-100.0,-100.0,-100.0
7,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000007.jpg,1,-100.0,-100.0,-100.0,-100.0
8,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000008.jpg,1,-100.0,-100.0,-100.0,-100.0
9,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000009.jpg,1,-100.0,-100.0,-100.0,-100.0
10,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000010.jpg,1,-100.0,-100.0,-100.0,-100.0
11,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000011.jpg,1,-100.0,-100.0,-100.0,-100.0
12,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000012.jpg,1,-100.0,-100.0,-100.0,-100.0
13,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000013.jpg,1,-100.0,-100.0,-100.0,-100.0
15,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000015.jpg,1,-100.0,-100.0,-100.0,-100.0
17,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000017.jpg,1,-100.0,-100.0,-100.0,-100.0
18,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000018.jpg,1,-100.0,-100.0,-100.0,-100.0
19,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000019.jpg,1,-100.0,-100.0,-100.0,-100.0
20,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000020.jpg,1,-100.0,-100.0,-100.0,-100.0
21,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000021.jpg,1,-100.0,-100.0,-100.0,-100.0
22,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000022.jpg,1,-100.0,-100.0,-100.0,-100.0
23,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000023.jpg,1,-100.0,-100.0,-100.0,-100.0
24,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000024.jpg,1,-100.0,-100.0,-100.0,-100.0
25,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000025.jpg,1,-100.0,-100.0,-100.0,-100.0
27,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000027.jpg,1,-100.0,-100.0,-100.0,-100.0
28,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000028.jpg,1,-100.0,-100.0,-100.0,-100.0
29,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000029.jpg,1,-100.0,-100.0,-100.0,-100.0
30,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000030.jpg,1,-100.0,-100.0,-100.0,-100.0
31,datasets_with_standard_labels/CelebA_HQ/train/images_336/00000031.jpg,1,-100.0,-100.0,-100.0,-100.0
