,Path,Gender,Age,Ethnicity,Facial Emotion,Identity
0,datasets_with_standard_labels/RAF-DB/train/images_336/00000000.jpg,1,-100.0,-100.0,4,-100.0
1,datasets_with_standard_labels/RAF-DB/train/images_336/00000001.jpg,1,-100.0,-100.0,4,-100.0
2,datasets_with_standard_labels/RAF-DB/train/images_336/00000002.jpg,1,-100.0,-100.0,3,-100.0
3,datasets_with_standard_labels/RAF-DB/train/images_336/00000003.jpg,1,-100.0,-100.0,3,-100.0
4,datasets_with_standard_labels/RAF-DB/train/images_336/00000004.jpg,1,-100.0,-100.0,4,-100.0
5,datasets_with_standard_labels/RAF-DB/train/images_336/00000005.jpg,1,-100.0,-100.0,0,-100.0
7,datasets_with_standard_labels/RAF-DB/train/images_336/00000007.jpg,0,-100.0,-100.0,3,-100.0
9,datasets_with_standard_labels/RAF-DB/train/images_336/00000009.jpg,0,-100.0,-100.0,0,-100.0
10,datasets_with_standard_labels/RAF-DB/train/images_336/00000010.jpg,0,-100.0,-100.0,3,-100.0
11,datasets_with_standard_labels/RAF-DB/train/images_336/00000011.jpg,0,-100.0,-100.0,0,-100.0
12,datasets_with_standard_labels/RAF-DB/train/images_336/00000012.jpg,1,-100.0,-100.0,0,-100.0
13,datasets_with_standard_labels/RAF-DB/train/images_336/00000013.jpg,0,-100.0,-100.0,3,-100.0
14,datasets_with_standard_labels/RAF-DB/train/images_336/00000014.jpg,1,-100.0,-100.0,4,-100.0
16,datasets_with_standard_labels/RAF-DB/train/images_336/00000016.jpg,0,-100.0,-100.0,3,-100.0
17,datasets_with_standard_labels/RAF-DB/train/images_336/00000017.jpg,1,-100.0,-100.0,3,-100.0
18,datasets_with_standard_labels/RAF-DB/train/images_336/00000018.jpg,1,-100.0,-100.0,3,-100.0
19,datasets_with_standard_labels/RAF-DB/train/images_336/00000019.jpg,1,-100.0,-100.0,3,-100.0
20,datasets_with_standard_labels/RAF-DB/train/images_336/00000020.jpg,0,-100.0,-100.0,3,-100.0
21,datasets_with_standard_labels/RAF-DB/train/images_336/00000021.jpg,1,-100.0,-100.0,3,-100.0
