Path,Gender,Age,Ethnicity,Facial Emotion,Identity
datasets_with_standard_labels\RAF-DB\train\images\00000000,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000001,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000002,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000003,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000004,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000005,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000006,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000007,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000008,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000009,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000010,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000011,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000012,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000013,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000014,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000015,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000016,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000017,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000018,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000019,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000020,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000021,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000022,0,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000023,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000024,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000025,0,-100.0,-100.0,1,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000026,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000027,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000028,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000029,1,-100.0,-100.0,2,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000030,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000031,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000032,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000033,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000034,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000035,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000036,0,-100.0,-100.0,4,-100.0
